关键词/表达式,类型,备注
能有什么坏心思,0,
吴签,0,
玩明白了|.合着就|*是吧,0,“给你玩明白了”“玩明白了是吧”
狗叫|唐,0,难听的话
锁屏可打,0,音游烂梗
而你,0,
我推,0,
招笑,0,
6|六,1,
溜大|冰|天上|飞起来,1,听到刺激的音乐时总是能看到的“我怎么在天上飞”“卧槽冰”
充值|充钱|收钱,1,“一看就知道厂商充钱了”
鸿蒙|华为,1,是的
米猴,1,与小米有关的
接|上岸,1,教学视频经常出现的许愿
.*实名观看|.*你[在再]看,1,任何视频经常出现的实名到此一游：我xx实名观看，xx我知道你在看
[典急孝乐绷]|懂哥|不看就?(滚|右上角|左上角|叉号)$|先投[在再]看.?([养已以]成|良好)习惯$|这辈子有了,1,阴阳怪气、孝子
棒子|阿三|咖喱|小日[本子]|鬼子|汉奸|走狗|支那,1,民族政治低俗外号
印度|美国|韩国|日本|核废水|美军|漂亮国|你国|[亲精]日|倭,1,政治敏感
([0-9一二两三四五六七八九十零〇１２３４５６７８９０](秒|分钟|小时|时|天))|热乎|热热|还能吃|刚刚|我出息了|来了|第一|1+|更了,1,新视频开头刷存在感
\d(个?)人.*(看|出来|说话)|[在再]看.*\d,1,“怎么还有x个人在看，快出来/说话”“正在看的那x个人，出来”
"(20)?[0-9]{2}年?([0-9一二三四五六七八九十]{1,2}月)?([0-9一二三四五六七八九十]{1,3}日)?(前来)?[考烤][古股]",1,考古
关皆黑|小黑子|蔡徐坤|你干[嘛吗]|只因,1,蔡徐坤烂梗
[吴昊]京|答.?辩|和蔼|喝啊|老挝,1,吴京烂梗
(中|冲)+|中奖|抽奖,1,提到有抽奖，送东西的时候就会有“冲冲冲”“中中中”
非常的新鲜.?非常的美味,1,homo会员制餐厅烂梗
(会员制(餐厅)?)|(临宾(酒)?)|雪|嗯.*嘛.*啊|噗.*叽.*啪,1,homo会员制餐厅烂梗
homo|金+|114514|1919810|林檎|难视|直球|.*倍甚至.*倍|臭|.啊.?.很.啊,1,homo烂梗
mopemope|もぺもぺ|毛八毛八|[Mm].?[Aa].?[Rr].?[Ee].?[Nn].?[Oo].?[Ll]|骂人ol,1,音游儿童邪典烂梗
今夕是何年.|爷.*青.*回|文艺复兴|梦回.*|仿佛回到.*年?|(今年|现在)是.*年|穿越,1,文艺复兴烂梗
把?.*打在.*上|(明示|暗示)投币|你币有了|三连|[这下]次一定,1,老三样。。
啊对+,1,啊对对对
.*你了,1,“原神怎么你了”
没一.是.*的,1,“没一个是好的”
(弹幕.*复制)|(复制.*弹幕),1,“如果你看到这条弹幕，请复制，可以帮助UP主顶上去/增加流量”
这下.*为什么.*了|这下看懂了,1,“这下看懂/明白为什么会刷到这个了”
[诗是]人[握卧我][吃持].?$,1,烂
《.*》,1,“我一不小心就删了”弹幕就开始耍各种书名号：《一不小心》《删了》
.*的含金量.*,1,“张雪峰的含金量还在上升”
哇.?还有.*,1,“哇，还有银叫”
还在.*,1,“还在go”
[0-9一二两三四五六七八九十]个?字神人,1,x字神人